Epoch,RA,RA_err,DEC,DEC_err
1990.3888,  5 28 44.7747360,  0.00026,  -65 26 56.24163,  0.00074
1990.56400, 5 28 44.786516 ,  0.00025,  -65 26 56.22719,  0.00068
1991.04900, 5 28 44.775782 ,  0.00024,  -65 26 56.26151,  0.00075
1991.53300, 5 28 44.789420 ,  0.00025,  -65 26 56.07567,  0.00083
1992.01800, 5 28 44.782017 ,  0.00024,  -65 26 56.11601,  0.00088
1992.23288, 5 28 44.7768744,  0.00019,  -65 26 56.004871, 0.0007
1992.68493, 5 28 44.8012440,  0.00018,  -65 26 55.939468, 0.00063
1993.12329, 5 28 44.7849196,  0.00024,  -65 26 55.913710, 0.00084
1994.81370, 5 28 44.8176807,  0.00019,  -65 26 55.686613, 0.00047
1995.14247, 5 28 44.8024816,  0.00027,  -65 26 55.624770, 0.00114
1996.15068, 5 28 44.8113716,  0.00013,  -65 26 55.485197, 0.00032
1996.36066, 5 28 44.8177613,  0.00018,  -65 26 55.378511, 0.00104
2007.86301, 5 28 44.91581  ,  0.00018,  -65 26 53.86529, 0.00104
2010.81781, 5 28 44.94276  ,  0.00018,  -65 26 53.45468, 0.00104
2013.62465, 5 28 44.96397  ,  0.00018,  -65 26 52.99578, 0.00104
